business_date,sk_d1_fcst,sk_d_fcst
2025-07-24,-97.944,-227.431
2025-07-24,-134.327,-121.089
2025-07-24,-75.094,-105.684
2025-07-24,-89.455,-155.347
2025-07-24,-106.019,-227.468
2025-07-24,-84.159,-157.425
2025-07-24,-47.558,-104.893
2025-07-24,-5.183,-99.32
2025-07-24,-7.379,-178.072
2025-07-24,-38.476,-180.108
2025-07-24,-45.225,-204.712
2025-07-24,-31.978,-156.105
2025-07-24,-23.483,-134.643
2025-07-24,-9.108,-145.043
2025-07-24,-25.982,-172.048
2025-07-24,-36.607,-175.939
2025-07-24,-65.465,-134.24
2025-07-24,-74.323,-163.354
2025-07-24,-60.7,-159.38
2025-07-24,-36.146,-123.459
2025-07-24,-26.155,-112.591
2025-07-24,-45.968,-124.792
2025-07-24,-60.092,-135.197
2025-07-24,-66.343,-126.322
2025-07-24,-102.726,1.481
2025-07-24,-143.986,-19.548
2025-07-24,-178.86,-58.652
2025-07-24,-209.883,-127.014
2025-07-24,-159.079,-98.83
2025-07-24,-198.609,-25.264
2025-07-24,-108.11,64.084
2025-07-24,-100.685,114.021
2025-07-24,-158.212,-35.69
2025-07-24,-104.914,-106.877
2025-07-24,8.711,-0.52
2025-07-24,69.359,48.664
2025-07-24,-111.562,-322.812
2025-07-24,-109.492,-248.254
2025-07-24,8.257,-202.292
2025-07-24,64.771,-71.867
2025-07-24,-10.213,-236.84
2025-07-24,-73.202,-279.186
2025-07-24,-74.951,-329.719
2025-07-24,-127.351,-328.932
2025-07-24,-144.379,-292.487
2025-07-24,-105.253,-249.081
2025-07-24,-60.752,-216.643
2025-07-24,-46.277,-214.768
2025-07-24,-95.802,-261.278
2025-07-24,-113.802,-286.038
2025-07-24,-99.053,-318.713
2025-07-24,-124.043,-349.648
2025-07-24,-135.161,-352.575
2025-07-24,-127.412,-354.088
2025-07-24,-123.662,-318.029
2025-07-24,-77.421,-214.209
2025-07-24,-30.315,-51.047
2025-07-24,-15.116,-98.42
2025-07-24,-11.453,-146.937
2025-07-24,-8.497,-170.307
2025-07-24,5.971,-100.81
2025-07-24,33.222,-126.494
2025-07-24,52.527,-161.607
2025-07-24,69.241,-247.893
2025-07-24,174.353,-139.41
2025-07-24,244.011,-106.853
2025-07-24,207.628,-81.614
2025-07-24,211.245,-90.67
2025-07-24,340.14,81.092
2025-07-24,399.059,84.59
2025-07-24,266.675,0.345
2025-07-24,194.576,-32.048
2025-07-24,265.592,84.616
2025-07-24,205.231,-94.95
2025-07-24,-16.574,-243.129
2025-07-24,-132.721,-263.916
2025-07-24,-61.12,-16.6
2025-07-24,-33.493,-31.535
2025-07-24,-165.868,-157.237
2025-07-24,-286.863,-201.599
2025-07-24,-280.656,-93.296
2025-07-24,-231.805,-110.81
2025-07-24,-254.904,-136.04
2025-07-24,-261.924,-132.575
2025-07-24,-220.944,-137.285
2025-07-24,-168.568,-110.068
2025-07-24,-96.318,-60.646
2025-07-24,21.806,-3.554
2025-07-24,-23.71,-228.84
2025-07-24,-144.399,-139.85
2025-07-24,-86.964,-97.363
2025-07-24,-59.727,-19.763
2025-07-24,-89.034,-162.764
2025-07-24,-66.454,-68.033
2025-07-24,12.796,-14.83
2025-07-24,85.671,49.137
2025-07-25,-7.791,-108.998
2025-07-25,-49.594,-115.516
2025-07-25,-2.593,-46.371
2025-07-25,22.534,-26.589
2025-07-25,16.681,-173.075
2025-07-25,-6.229,-152.631
2025-07-25,14.171,-84.255
2025-07-25,40.824,-43.612
2025-07-25,69.351,-76.271
2025-07-25,66.726,-83.852
2025-07-25,59.226,-76.446
2025-07-25,28.206,-45.29
2025-07-25,35.686,-41.962
2025-07-25,77.061,-35.249
2025-07-25,77.561,-41.642
2025-07-25,79.262,-50.203
2025-07-25,79.893,-30.358
2025-07-25,84.2,-16.292
2025-07-25,93.449,-3.713
2025-07-25,103.05,-2.878
2025-07-25,82.301,-53.188
2025-07-25,79.576,-31.368
2025-07-25,107.951,-16.341
2025-07-25,67.576,-58.622
2025-07-25,27.428,87.088
2025-07-25,-1.344,-2.787
2025-07-25,-63.219,-70.574
2025-07-25,-103.585,-116.153
2025-07-25,-92.845,-19.132
2025-07-25,-50.123,27.744
2025-07-25,29.742,190.186
2025-07-25,75.968,172.018
2025-07-25,19.203,14.05
2025-07-25,53.087,195.413
2025-07-25,196.577,306.01
2025-07-25,280.735,320.001
2025-07-25,169.752,8.444
2025-07-25,109.8,29.264
2025-07-25,241.048,81.462
2025-07-25,319.403,66.718
2025-07-25,219.147,-133.746
2025-07-25,229.001,-121.568
2025-07-25,219.257,-110.752
2025-07-25,186.909,-63.145
2025-07-25,142.51,-34.1
2025-07-25,145.5,-153.184
2025-07-25,200.177,-125.322
2025-07-25,220.412,-160.806
2025-07-25,194.857,-244.411
2025-07-25,181.745,-360.686
2025-07-25,189.759,-342.138
2025-07-25,132.619,-278.088
2025-07-25,88.62,-253.726
2025-07-25,127.187,-220.775
2025-07-25,155.941,-188.931
2025-07-25,162.399,-166.912
2025-07-25,171.104,
2025-07-25,187.344,
2025-07-25,175.779,
2025-07-25,173.305,
2025-07-25,186.525,
2025-07-25,200.346,
2025-07-25,234.567,
2025-07-25,245.869,
2025-07-25,266.132,
2025-07-25,266.246,
2025-07-25,260.261,
2025-07-25,252.172,
2025-07-25,370.364,
2025-07-25,444.238,
2025-07-25,269.797,
2025-07-25,138.208,
2025-07-25,226.598,
2025-07-25,259.424,
2025-07-25,85.301,
2025-07-25,7.677,
2025-07-25,77.81,
2025-07-25,76.568,
2025-07-25,-41.306,
2025-07-25,-135.181,
2025-07-25,-152.179,
2025-07-25,-139.177,
2025-07-25,-160.302,
2025-07-25,-187.165,
2025-07-25,-190.46,
2025-07-25,-151.453,
2025-07-25,-75.266,
2025-07-25,13.297,
2025-07-25,-54.575,
2025-07-25,-67.566,
2025-07-25,9.504,
2025-07-25,33.23,
2025-07-25,-24.559,
2025-07-25,-34.197,
2025-07-25,45.305,
2025-07-25,119.302,
